State,County,Total Equip Quantity,Total Cost,Mil Equip Quantity,Total Mil Cost
FL,HARDEE,9,48559.0,9.0,48559.0
FL,HENDRY,14,1932.0,14.0,1932.0
FL,HERNANDO,492,423011.23,197.0,330461.0
FL,HIGHLANDS,55,420717.0,55.0,420717.0
FL,HILLSBOROUGH,267,319508.25,63.0,310222.0
FL,HOLMES,565,14461.85,9.0,4491.0
FL,INDIAN RIVER,136,1186212.3399999999,87.0,1160618.0
FL,JACKSON,31,363795.0,31.0,363795.0
FL,JEFFERSON,53,144874.91999999998,5.0,143239.0
FL,LAKE,74,938141.5700000001,62.0,805816.0
FL,LEE,1787,860195.47,248.0,792921.24
FL,LEON,2629,2623385.69,1942.0,2622636.0
FL,LEVY,108,101298.87999999999,52.0,71877.0
FL,LIBERTY,6,2994.0,6.0,2994.0
FL,MADISON,265,112942.15,9.0,93164.0
FL,MANATEE,147,111357.0,145.0,110472.0
FL,MARION,226,425069.0,226.0,425069.0
FL,MARTIN,23,494016.0,23.0,494016.0
FL,MIAMI DADE,1001,4001232.18,258.0,3420400.0
FL,MONROE,36,1740535.0,35.0,939670.0
FL,NASSAU,52,59118.0,47.0,59118.0
FL,OKALOOSA,53,133769.0,53.0,133769.0
FL,OKEECHOBEE,34,12634.0,34.0,12634.0
FL,ORANGE,467,820611.2,307.0,797697.0
FL,OSCEOLA,70,2693243.46,26.0,1516905.0
FL,PALM BEACH,76,135175.41999999998,73.0,93236.0
FL,PASCO,184,1128374.6400000001,171.0,1055831.0
FL,PINELLAS,43,3216182.15,42.0,3215751.0
FL,POLK,285,1351709.13,278.0,1230718.0
FL,PUTNAM,110,1693371.92,61.0,1088452.0
FL,ST JOHNS,353,991584.25,68.0,863400.0
FL,ST LUCIE,243,4085543.0500000003,60.0,3885408.0
FL,SANTA ROSA,22,654836.0,15.0,654836.0
FL,SARASOTA,11,123806.0,11.0,123806.0
FL,SEMINOLE,288,113746.0,287.0,71924.0
FL,SUMTER,1198,237716.97,51.0,221293.0
FL,SUWANNEE,8,415294.0,8.0,415294.0
FL,UNION,1,41822.0,0.0,0.0
FL,VOLUSIA,223,2269417.4299999997,196.0,2265047.0
FL,WAKULLA,46,14623.94,32.0,13802.0
FL,WALTON,8,830935.4299999999,6.0,830520.0
FL,WASHINGTON,12,5827.0,7.0,1327.0
GA,APPLING,3,414.0,3.0,414.0
GA,ATKINSON,37,1222481.6,1.0,25000.0
GA,BACON,3,75000.0,3.0,75000.0
GA,BAKER,56,77969.78,1.0,60409.0
GA,BALDWIN,1459,275678.29,72.0,181077.0
GA,BANKS,762,249642.81,3.0,104887.0
GA,BARROW,921,344370.04,11.0,212875.0
GA,BARTOW,272,300995.55,267.0,300702.0
GA,BEN HILL,2,276.0,2.0,276.0
GA,BERRIEN,62,1100185.3,33.0,158283.91999999998
GA,BIBB,322,23291.95,17.0,2346.0
GA,BROOKS,355,813022.4299999999,12.0,97290.86
GA,BULLOCH,1,54313.7,1.0,54313.7
GA,BURKE,15,131375.05,6.0,83780.0
GA,CALHOUN,2,998.0,2.0,998.0
GA,CAMDEN,69,7319.18,23.0,2832.0
GA,CARROLL,30310,6808807.16,429.0,974157.43
GA,CATOOSA,17,105761.7,15.0,83995.7
GA,CHARLTON,8,786.84,4.0,552.0
GA,CHATHAM,284,2553197.68,46.0,790170.15
GA,CHATTOOGA,23,99757.24,16.0,77174.1
GA,CHEROKEE,293,479112.14,12.0,99592.0
GA,CLARKE,2,998.0,2.0,998.0
GA,CLAYTON,611,916638.1599999999,162.0,561428.62
GA,CLINCH,1843,2075472.08,21.0,149178.0
GA,COBB,414,827763.56,95.0,328516.97
GA,COFFEE,75,17932.0,75.0,17932.0
GA,COLQUITT,35,66507.08,25.0,33714.95
GA,COLUMBIA,110,80815.54000000001,62.0,68405.0
GA,COOK,11,235677.0,6.0,828.0
GA,COWETA,4971,830850.02,49.0,323256.0
GA,CRAWFORD,15,3767.55,10.0,3474.0
GA,CRISP,37,746399.65,13.0,736100.0
GA,DADE,12,321819.0,11.0,232704.0
GA,DAWSON,18,31723.0,5.0,690.0
GA,DECATUR,168,21021.17,26.0,4640.0
GA,DE KALB,1593,873745.4,79.0,775737.86
GA,DODGE,1788,155830.9,20.0,29738.85
GA,DOOLY,42,129169.29,10.0,75966.0
GA,DOUGHERTY,37,13338.1,27.0,12751.0
GA,DOUGLAS,70,28144.0,63.0,19956.0
GA,EARLY,2,4700.0,2.0,4700.0
GA,ECHOLS,5,276930.0,1.0,25000.0
GA,EFFINGHAM,46,8052.75,21.0,6585.0
GA,ELBERT,1186,421294.13,16.0,164093.0
GA,EMANUEL,755,387118.58,17.0,102541.5
GA,FANNIN,20,65797.1,3.0,65346.0
GA,FAYETTE,5,87527.0,4.0,480.0
GA,FLOYD,1,25000.0,1.0,25000.0
GA,FORSYTH,2812,215255.41999999998,47.0,47401.17
GA,FRANKLIN,2569,3260797.06,52.0,844538.1
GA,FULTON,55326,8586418.05,1554.0,4766613.48
GA,GILMER,431,643540.85,37.0,250314.0
GA,GLYNN,276,118440.81,265.0,117795.0
GA,GORDON,18618,3205818.71,45.0,207716.2
GA,GRADY,894,168265.15,10.0,1326.0
GA,GREENE,2,998.0,2.0,998.0
GA,GWINNETT,2403,419468.35,84.0,335304.20999999996
GA,HABERSHAM,32,106105.93,19.0,105342.7
GA,HALL,72,24106.0,72.0,24106.0
GA,HANCOCK,14,2583.1,4.0,1996.0
GA,HARALSON,82,98482.71,31.0,84273.0
GA,HARRIS,35,260102.83,19.0,124539.2
GA,HART,2943,4753276.04,46.0,396531.0
GA,HENRY,94,19298.260000000002,53.0,17422.0
GA,HOUSTON,6247,2086143.75,180.0,892197.29
GA,IRWIN,2,196.71,1.0,138.0
GA,JACKSON,31,10141.68,23.0,9672.0
GA,JASPER,196,130458.45,15.0,102158.0
GA,JEFF DAVIS,3,25276.0,3.0,25276.0
GA,JEFFERSON,157,1099464.42,9.0,184346.0
GA,JONES,1231,226003.93,12.0,220021.25
GA,LAMAR,15,3153.0,15.0,3153.0
GA,LANIER,9,2302.94,5.0,2068.1
GA,LAURENS,2647,606516.25,47.0,68142.69
GA,LEE,9042,4644445.59,147.0,697459.24
GA,LIBERTY,22,10617.0,22.0,10617.0
GA,LINCOLN,154,364125.67,25.0,226792.59
GA,LONG,2738,678891.41,8.0,118503.0
GA,LOWNDES,2764,1515400.44,111.0,703375.61
GA,LUMPKIN,20,3448.0,5.0,2495.0
GA,MACON,4,1274.0,4.0,1274.0
GA,MADISON,29,603668.22,17.0,346770.0
GA,MARION,1,120.0,1.0,120.0
GA,MCDUFFIE,11,7340.0,11.0,7340.0
GA,MCINTOSH,15,48556.0,14.0,1806.0
GA,MERIWETHER,12629,853513.88,88.0,189080.89
GA,MILLER,14,1356.0,11.0,1356.0
GA,MITCHELL,1251,691915.82,30.0,284262.1
GA,MONROE,12,5248.0,12.0,5248.0
GA,MORGAN,303,1083624.54,37.0,1046874.56
GA,MURRAY,70,379028.6,69.0,289913.6
GA,MUSCOGEE,566,1298408.8,236.0,1267888.38
GA,NEWTON,44,91433.84,40.0,91199.0
GA,OCONEE,2,998.0,2.0,998.0
