State,County,Ship Date,Total Equip Quantity,Total Cost
AL,BLOUNT,2012-10-23 00:00:00,60,495.32
AL,BLOUNT,2012-12-18 00:00:00,1,84000.0
AL,BLOUNT,2013-01-03 00:00:00,1,12.03
AL,BLOUNT,2013-04-16 00:00:00,2,252.0
AL,BLOUNT,2013-05-21 00:00:00,3,268.04
AL,BLOUNT,2013-06-19 00:00:00,12,1791.45
AL,BLOUNT,2013-06-20 00:00:00,1,228.95
AL,BLOUNT,2013-06-21 00:00:00,1,743.75
AL,BLOUNT,2013-06-24 00:00:00,1,635.0
AL,BLOUNT,2013-07-23 00:00:00,1,355.26
AL,BLOUNT,2013-09-05 00:00:00,21,23449.989999999998
AL,BLOUNT,2013-10-07 00:00:00,1,412000.0
AL,BLOUNT,2013-10-30 00:00:00,6,350.0
AL,BLOUNT,2013-11-21 00:00:00,3,24127.3
AL,BULLOCK,2013-04-02 00:00:00,1,25000.0
AL,BUTLER,2006-12-06 00:00:00,8,3992.0
AL,BUTLER,2011-10-11 00:00:00,10,545.69
AL,BUTLER,2011-10-15 00:00:00,27,359.71000000000004
AL,BUTLER,2011-10-19 00:00:00,34,15.16
AL,BUTLER,2011-10-20 00:00:00,1,47989.0
AL,BUTLER,2011-10-25 00:00:00,50,16400.0
AL,BUTLER,2011-10-29 00:00:00,10,359.0
AL,BUTLER,2011-11-01 00:00:00,1,25000.0
AL,BUTLER,2011-12-03 00:00:00,20,1170.55
AL,BUTLER,2012-01-18 00:00:00,1,44722.0
AL,BUTLER,2012-02-01 00:00:00,59,1858.04
AL,BUTLER,2012-02-04 00:00:00,2,50000.0
AL,BUTLER,2012-02-07 00:00:00,1,25000.0
AL,BUTLER,2012-02-08 00:00:00,109,56.81
AL,BUTLER,2012-02-10 00:00:00,8,469.68
AL,BUTLER,2012-03-07 00:00:00,1,41253.0
AL,BUTLER,2012-04-16 00:00:00,1,25000.0
AL,BUTLER,2012-12-12 00:00:00,12,3346.26
AL,BUTLER,2013-12-10 00:00:00,12,451.26
AL,BUTLER,2013-12-11 00:00:00,23,263.25
AL,CALHOUN,2006-04-18 00:00:00,6,1911.0
AL,CALHOUN,2006-11-06 00:00:00,18,6816.0
AL,CALHOUN,2006-11-08 00:00:00,2,998.0
AL,CALHOUN,2008-05-28 00:00:00,10,1200.0
AL,CALHOUN,2008-10-14 00:00:00,4,1274.0
AL,CALHOUN,2009-01-22 00:00:00,41,300.58
AL,CALHOUN,2009-02-10 00:00:00,1,190000.0
AL,CALHOUN,2009-05-28 00:00:00,1,210000.0
AL,CALHOUN,2010-04-15 00:00:00,28,0.0
AL,CALHOUN,2010-04-19 00:00:00,50,4.23
AL,CALHOUN,2010-05-19 00:00:00,7,328.0
AL,CALHOUN,2010-06-28 00:00:00,57,888.98
AL,CALHOUN,2010-07-01 00:00:00,2,54506.0
AL,CALHOUN,2010-07-06 00:00:00,20,11.39
AL,CALHOUN,2010-07-07 00:00:00,16,126825.03
AL,CALHOUN,2010-08-30 00:00:00,25,68.35
AL,CALHOUN,2010-09-02 00:00:00,4,13880.0
AL,CALHOUN,2010-09-09 00:00:00,20,28626.34
AL,CALHOUN,2010-09-21 00:00:00,7,88685.2
AL,CALHOUN,2010-09-22 00:00:00,1,42761.25
AL,CALHOUN,2010-09-28 00:00:00,50,5.21
AL,CALHOUN,2010-09-29 00:00:00,4,663.57
AL,CALHOUN,2010-10-14 00:00:00,10,297.32
AL,CALHOUN,2010-11-02 00:00:00,8,2136.0
AL,CALHOUN,2010-11-04 00:00:00,10,355.0
AL,CALHOUN,2010-11-05 00:00:00,106,513.55
AL,CALHOUN,2010-11-10 00:00:00,33,1011.12
AL,CALHOUN,2010-12-06 00:00:00,22,226.48
AL,CALHOUN,2010-12-14 00:00:00,9,239.85
AL,CALHOUN,2010-12-17 00:00:00,2,19.73
AL,CALHOUN,2010-12-18 00:00:00,30,33.81
AL,CALHOUN,2010-12-22 00:00:00,8,7753.37
AL,CALHOUN,2010-12-25 00:00:00,46,37.28
AL,CALHOUN,2011-01-04 00:00:00,11,329.61
AL,CALHOUN,2011-01-08 00:00:00,29,818.3399999999999
AL,CALHOUN,2011-01-11 00:00:00,16,1312.0
AL,CALHOUN,2011-01-12 00:00:00,6,340.0
AL,CALHOUN,2011-01-22 00:00:00,10,28.23
AL,CALHOUN,2011-01-29 00:00:00,8,438.49
AL,CALHOUN,2011-02-01 00:00:00,35,4200.0
AL,CALHOUN,2011-02-05 00:00:00,2,130.0
AL,CALHOUN,2011-02-09 00:00:00,1,47455.0
AL,CALHOUN,2011-02-15 00:00:00,12,85.63
AL,CALHOUN,2011-02-19 00:00:00,4,540.0
AL,CALHOUN,2011-03-02 00:00:00,3,193.08
AL,CALHOUN,2011-03-07 00:00:00,50,9.31
AL,CALHOUN,2011-03-09 00:00:00,3,4955.0
AL,CALHOUN,2011-03-11 00:00:00,53,25364.0
AL,CALHOUN,2011-03-12 00:00:00,3,0.0
AL,CALHOUN,2011-03-26 00:00:00,20,529.98
AL,CALHOUN,2011-04-02 00:00:00,17,10938.66
AL,CALHOUN,2011-04-09 00:00:00,10,359.0
AL,CALHOUN,2011-04-25 00:00:00,62,4432.92
AL,CALHOUN,2011-04-26 00:00:00,42,5040.0
AL,CALHOUN,2011-04-28 00:00:00,1,25000.0
AL,CALHOUN,2011-04-30 00:00:00,15,964.0
AL,CALHOUN,2011-05-20 00:00:00,2,101.0
AL,CALHOUN,2011-05-26 00:00:00,6,206.08
AL,CALHOUN,2011-06-01 00:00:00,15,656.0
AL,CALHOUN,2011-06-08 00:00:00,10,322.09
AL,CALHOUN,2011-06-12 00:00:00,10,663.0
AL,CALHOUN,2011-06-18 00:00:00,35,400362.3
AL,CALHOUN,2011-07-07 00:00:00,1,25000.0
AL,CALHOUN,2011-07-13 00:00:00,7,7681.79
AL,CALHOUN,2011-07-15 00:00:00,1,54313.7
AL,CALHOUN,2011-07-16 00:00:00,2,16522.65
AL,CALHOUN,2011-07-21 00:00:00,1,35000.0
AL,CALHOUN,2011-07-23 00:00:00,35,363.89000000000004
AL,CALHOUN,2011-07-30 00:00:00,3,8.98
AL,CALHOUN,2011-08-08 00:00:00,10,355.0
AL,CALHOUN,2011-08-13 00:00:00,28,8382.93
AL,CALHOUN,2011-08-23 00:00:00,15,96.23
AL,CALHOUN,2011-08-27 00:00:00,640,9.51
AL,CALHOUN,2011-09-24 00:00:00,20,8.28
AL,CALHOUN,2011-10-01 00:00:00,20,53.0
AL,CALHOUN,2011-10-09 00:00:00,5,5077.0
AL,CALHOUN,2011-10-15 00:00:00,52,15.03
AL,CALHOUN,2011-10-22 00:00:00,1,11047.0
AL,CALHOUN,2011-10-29 00:00:00,31,137.9
AL,CALHOUN,2011-10-31 00:00:00,56,200096.23
AL,CALHOUN,2011-11-05 00:00:00,2,1165.46
AL,CALHOUN,2011-11-12 00:00:00,4,1165.46
AL,CALHOUN,2011-11-18 00:00:00,5,125000.0
AL,CALHOUN,2011-11-26 00:00:00,2,0.0
AL,CALHOUN,2011-12-03 00:00:00,23,1940.38
AL,CALHOUN,2011-12-05 00:00:00,33,117287.99
AL,CALHOUN,2011-12-06 00:00:00,40,90.05
AL,CALHOUN,2011-12-11 00:00:00,100,9.09
AL,CALHOUN,2011-12-12 00:00:00,25,13.42
AL,CALHOUN,2011-12-18 00:00:00,101,206.13
AL,CALHOUN,2011-12-19 00:00:00,15,15.47
AL,CALHOUN,2012-01-04 00:00:00,350,307.89
AL,CALHOUN,2012-01-07 00:00:00,15,16669.629999999997
AL,CALHOUN,2012-01-09 00:00:00,70,93.5
AL,CALHOUN,2012-01-11 00:00:00,19,188.56
AL,CALHOUN,2012-01-13 00:00:00,98,2083.79
AL,CALHOUN,2012-01-14 00:00:00,2,1.61
AL,CALHOUN,2012-01-17 00:00:00,10,431.81
AL,CALHOUN,2012-01-18 00:00:00,35,51560.45
AL,CALHOUN,2012-01-21 00:00:00,13,33749.45
AL,CALHOUN,2012-01-26 00:00:00,149,1688.41
AL,CALHOUN,2012-01-28 00:00:00,11,2542.0
AL,CALHOUN,2012-01-31 00:00:00,10,52.75
AL,CALHOUN,2012-02-03 00:00:00,3,63840.0
AL,CALHOUN,2012-02-04 00:00:00,3,54896.21
AL,CALHOUN,2012-02-08 00:00:00,492,6126.99
AL,CALHOUN,2012-02-11 00:00:00,4,36743.2
